Variable,Index,Value
P_gen,"(1, 3, 131)",300.0
P_gen,"(1, 3, 132)",300.0
P_gen,"(1, 4, 1)",0.0
P_gen,"(1, 4, 2)",0.0
P_gen,"(1, 4, 3)",0.0
P_gen,"(1, 4, 4)",0.0
P_gen,"(1, 4, 5)",0.0
P_gen,"(1, 4, 6)",0.0
P_gen,"(1, 4, 7)",0.0
P_gen,"(1, 4, 8)",0.0
P_gen,"(1, 4, 9)",0.0
P_gen,"(1, 4, 10)",167.83491368830536
P_gen,"(1, 4, 11)",0.0
P_gen,"(1, 4, 12)",0.0
P_gen,"(1, 4, 13)",0.0
P_gen,"(1, 4, 14)",0.0
P_gen,"(1, 4, 15)",0.0
P_gen,"(1, 4, 16)",0.0
P_gen,"(1, 4, 17)",0.0
P_gen,"(1, 4, 18)",0.0
P_gen,"(1, 4, 19)",0.0
P_gen,"(1, 4, 20)",0.0
P_gen,"(1, 4, 21)",62.04716751762703
P_gen,"(1, 4, 22)",96.58764891806499
P_gen,"(1, 4, 23)",2.3614150255287427
P_gen,"(1, 4, 24)",0.0
P_gen,"(1, 4, 25)",0.0
P_gen,"(1, 4, 26)",0.0
P_gen,"(1, 4, 27)",0.0
P_gen,"(1, 4, 28)",0.0
P_gen,"(1, 4, 29)",0.0
P_gen,"(1, 4, 30)",0.0
P_gen,"(1, 4, 31)",0.0
P_gen,"(1, 4, 32)",0.0
P_gen,"(1, 4, 33)",0.0
P_gen,"(1, 4, 34)",0.0
P_gen,"(1, 4, 35)",0.0
P_gen,"(1, 4, 36)",0.0
P_gen,"(1, 4, 37)",0.0
P_gen,"(1, 4, 38)",0.0
P_gen,"(1, 4, 39)",0.0
P_gen,"(1, 4, 40)",0.0
P_gen,"(1, 4, 41)",0.0
P_gen,"(1, 4, 42)",0.0
P_gen,"(1, 4, 43)",0.0
P_gen,"(1, 4, 44)",39.4189156333577
P_gen,"(1, 4, 45)",157.7437393629954
P_gen,"(1, 4, 46)",232.80573790420613
P_gen,"(1, 4, 47)",173.51872112813027
P_gen,"(1, 4, 48)",34.40979820082657
P_gen,"(1, 4, 49)",0.0
P_gen,"(1, 4, 50)",0.0
P_gen,"(1, 4, 51)",0.0
P_gen,"(1, 4, 52)",0.0
P_gen,"(1, 4, 53)",0.0
P_gen,"(1, 4, 54)",0.0
P_gen,"(1, 4, 55)",0.0
P_gen,"(1, 4, 56)",0.0
P_gen,"(1, 4, 57)",0.0
P_gen,"(1, 4, 58)",0.0
P_gen,"(1, 4, 59)",0.0
P_gen,"(1, 4, 60)",0.0
P_gen,"(1, 4, 61)",27.730974957451963
P_gen,"(1, 4, 62)",2.785071723802446
P_gen,"(1, 4, 63)",0.0
P_gen,"(1, 4, 64)",0.0
P_gen,"(1, 4, 65)",0.0
P_gen,"(1, 4, 66)",0.0
P_gen,"(1, 4, 67)",0.0
P_gen,"(1, 4, 68)",54.371504984196406
P_gen,"(1, 4, 69)",175.36287381473386
P_gen,"(1, 4, 70)",195.34950158035497
P_gen,"(1, 4, 71)",141.6447848285923
P_gen,"(1, 4, 72)",38.62144420131284
P_gen,"(1, 4, 73)",0.0
P_gen,"(1, 4, 74)",0.0
P_gen,"(1, 4, 75)",0.0
P_gen,"(1, 4, 76)",0.0
P_gen,"(1, 4, 77)",0.0
P_gen,"(1, 4, 78)",0.0
P_gen,"(1, 4, 79)",0.0
P_gen,"(1, 4, 80)",0.0
P_gen,"(1, 4, 81)",0.0
P_gen,"(1, 4, 82)",0.0
P_gen,"(1, 4, 83)",0.0
P_gen,"(1, 4, 84)",0.0
